0.3361 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of [u'Line-out (Green Rear)']
4.1523 	WARNING 	unknown type:participant
4.1523 	WARNING 	unknown type:session
4.7795 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11ce97550>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7795 	EXP 	window1: recordFrameIntervals = False
4.9457 	EXP 	window1: recordFrameIntervals = True
5.1959 	EXP 	window1: recordFrameIntervals = False
5.2820 	EXP 	Created instrTxt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instrTxt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
5.2827 	EXP 	Created interStimInt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='interStimInt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
5.2938 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
5.3137 	EXP 	instrTxt: autoDraw = True
6.0816 	DATA 	Keypress: space
6.1006 	EXP 	Imported stimuli.xlsx as conditions, 37 conditions, 2 params
6.1049 	EXP 	Created sequence: random, trialTypes=37, nReps=15, seed=None
6.1057 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'stimulus', u'B'), (u'category', u'letter')])
6.1125 	EXP 	instrTxt: autoDraw = False
6.1125 	EXP 	interStimInt: autoDraw = True
6.1455 	EXP 	interStimInt: autoDraw = False
6.1455 	EXP 	text: text = u'B'
6.1455 	EXP 	text: autoDraw = True
6.1794 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'stimulus', 6), (u'category', u'number')])
6.1956 	EXP 	text: autoDraw = False
6.1956 	EXP 	interStimInt: autoDraw = True
6.2308 	EXP 	interStimInt: autoDraw = False
6.2308 	EXP 	text: text = 6
6.2308 	EXP 	text: autoDraw = True
6.2627 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'stimulus', u'F'), (u'category', u'letter')])
6.2790 	EXP 	text: autoDraw = False
6.2790 	EXP 	interStimInt: autoDraw = True
6.3118 	EXP 	interStimInt: autoDraw = False
6.3118 	EXP 	text: text = u'F'
6.3118 	EXP 	text: autoDraw = True
6.3463 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'stimulus', u'C'), (u'category', u'letter')])
6.3620 	EXP 	text: autoDraw = False
6.3620 	EXP 	interStimInt: autoDraw = True
6.3957 	EXP 	interStimInt: autoDraw = False
6.3957 	EXP 	text: text = u'C'
6.3957 	EXP 	text: autoDraw = True
6.4317 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'stimulus', 2), (u'category', u'number')])
