3.5138 	WARNING 	unknown type:participant
3.5139 	WARNING 	unknown type:session
4.2106 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11c557510>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2107 	EXP 	window1: recordFrameIntervals = False
4.3770 	EXP 	window1: recordFrameIntervals = True
4.6099 	EXP 	window1: recordFrameIntervals = False
4.7011 	EXP 	Created instrTxt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instrTxt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
4.7018 	EXP 	Created interStimInt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='interStimInt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
4.7132 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
4.7280 	EXP 	instrTxt: autoDraw = True
5.5297 	DATA 	Mouse: Left button down, pos=(1433,1014)
5.6608 	DATA 	Mouse:  Left button up, pos=(1433,1014)
6.3615 	DATA 	Keypress: space
6.4051 	EXP 	Imported stimuli.xlsx as conditions, 37 conditions, 2 params
6.4056 	EXP 	Created sequence: random, trialTypes=37, nReps=1, seed=None
6.4060 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'stimulus', 9), (u'category', u'number')])
6.4259 	EXP 	instrTxt: autoDraw = False
6.4259 	EXP 	interStimInt: autoDraw = False
6.4259 	EXP 	text: text = 9
6.4259 	EXP 	text: autoDraw = True
