3.2059 	WARNING 	unknown type:participant
3.2059 	WARNING 	unknown type:session
3.7908 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11c668510>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7908 	EXP 	window1: recordFrameIntervals = False
3.9570 	EXP 	window1: recordFrameIntervals = True
4.1423 	EXP 	window1: recordFrameIntervals = False
4.2173 	EXP 	Created instrTxt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instrTxt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
4.2179 	EXP 	Created interStimInt = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='interStimInt', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
4.2294 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
4.2417 	EXP 	instrTxt: autoDraw = True
4.5221 	DATA 	Keypress: space
4.5397 	EXP 	Imported stimuli.xlsx as conditions, 37 conditions, 2 params
4.5404 	EXP 	Created sequence: random, trialTypes=37, nReps=1, seed=None
4.5407 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'stimulus', u'L'), (u'category', u'letter')])
4.5604 	EXP 	instrTxt: autoDraw = False
4.5604 	EXP 	interStimInt: autoDraw = True
4.5736 	EXP 	interStimInt: autoDraw = False
4.5736 	EXP 	text: text = u'L'
4.5736 	EXP 	text: autoDraw = True
4.6073 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'stimulus', 5), (u'category', u'number')])
4.6235 	EXP 	text: autoDraw = False
4.6235 	EXP 	interStimInt: autoDraw = True
4.6569 	EXP 	interStimInt: autoDraw = False
4.6569 	EXP 	text: text = 5
4.6569 	EXP 	text: autoDraw = True
4.6906 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'stimulus', u'T'), (u'category', u'letter')])
4.7068 	EXP 	text: autoDraw = False
4.7068 	EXP 	text: autoDraw = False
4.7068 	EXP 	interStimInt: autoDraw = True
4.7416 	EXP 	interStimInt: autoDraw = False
4.7416 	EXP 	interStimInt: autoDraw = False
4.7416 	EXP 	text: text = u'T'
4.7416 	EXP 	text: autoDraw = True
4.7740 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'stimulus', u'E'), (u'category', u'letter')])
4.7901 	EXP 	text: autoDraw = False
4.7901 	EXP 	text: autoDraw = False
4.7901 	EXP 	interStimInt: autoDraw = True
4.8236 	EXP 	interStimInt: autoDraw = False
4.8236 	EXP 	interStimInt: autoDraw = False
4.8236 	EXP 	text: text = u'E'
4.8236 	EXP 	text: autoDraw = True
4.8574 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'stimulus', u'C'), (u'category', u'letter')])
4.8735 	EXP 	text: autoDraw = False
4.8735 	EXP 	text: autoDraw = False
4.8735 	EXP 	interStimInt: autoDraw = True
4.9070 	EXP 	interStimInt: autoDraw = False
4.9070 	EXP 	interStimInt: autoDraw = False
4.9070 	EXP 	text: text = u'C'
4.9070 	EXP 	text: autoDraw = True
4.9420 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'stimulus', u'B'), (u'category', u'letter')])
4.9568 	EXP 	text: autoDraw = False
4.9568 	EXP 	text: autoDraw = False
4.9568 	EXP 	interStimInt: autoDraw = True
4.9904 	EXP 	interStimInt: autoDraw = False
4.9904 	EXP 	interStimInt: autoDraw = False
4.9904 	EXP 	text: text = u'B'
4.9904 	EXP 	text: autoDraw = True
5.0241 	EXP 	New trial (rep=0, index=6): OrderedDict([(u'stimulus', u'R'), (u'category', u'letter')])
5.0425 	EXP 	text: autoDraw = False
5.0425 	EXP 	text: autoDraw = False
5.0425 	EXP 	interStimInt: autoDraw = True
5.0737 	EXP 	interStimInt: autoDraw = False
5.0737 	EXP 	interStimInt: autoDraw = False
5.0737 	EXP 	text: text = u'R'
5.0737 	EXP 	text: autoDraw = True
5.1072 	EXP 	New trial (rep=0, index=7): OrderedDict([(u'stimulus', u'X'), (u'category', u'letter')])
5.1235 	EXP 	text: autoDraw = False
5.1235 	EXP 	text: autoDraw = False
5.1235 	EXP 	interStimInt: autoDraw = True
5.1570 	EXP 	interStimInt: autoDraw = False
5.1570 	EXP 	interStimInt: autoDraw = False
5.1570 	EXP 	text: text = u'X'
5.1570 	EXP 	text: autoDraw = True
5.1907 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'stimulus', u'M'), (u'category', u'letter')])
5.2069 	EXP 	text: autoDraw = False
5.2069 	EXP 	text: autoDraw = False
5.2069 	EXP 	interStimInt: autoDraw = True
5.2420 	EXP 	interStimInt: autoDraw = False
5.2420 	EXP 	interStimInt: autoDraw = False
5.2420 	EXP 	text: text = u'M'
5.2420 	EXP 	text: autoDraw = True
5.2741 	EXP 	New trial (rep=0, index=9): OrderedDict([(u'stimulus', u'G'), (u'category', u'letter')])
5.2902 	EXP 	text: autoDraw = False
5.2902 	EXP 	text: autoDraw = False
5.2902 	EXP 	interStimInt: autoDraw = True
5.3235 	EXP 	interStimInt: autoDraw = False
5.3235 	EXP 	interStimInt: autoDraw = False
5.3235 	EXP 	text: text = u'G'
5.3235 	EXP 	text: autoDraw = True
5.3594 	EXP 	New trial (rep=0, index=10): OrderedDict([(u'stimulus', u'probe'), (u'category', u'probe')])
5.3736 	EXP 	text: autoDraw = False
5.3736 	EXP 	text: autoDraw = False
5.3736 	EXP 	interStimInt: autoDraw = True
5.4069 	EXP 	interStimInt: autoDraw = False
5.4069 	EXP 	interStimInt: autoDraw = False
5.4069 	EXP 	text: text = u'probe'
5.4069 	EXP 	text: autoDraw = True
5.4407 	EXP 	New trial (rep=0, index=11): OrderedDict([(u'stimulus', u'Y'), (u'category', u'letter')])
5.4589 	EXP 	text: autoDraw = False
5.4589 	EXP 	text: autoDraw = False
5.4589 	EXP 	interStimInt: autoDraw = True
5.4903 	EXP 	interStimInt: autoDraw = False
5.4903 	EXP 	interStimInt: autoDraw = False
5.4903 	EXP 	text: text = u'Y'
5.4903 	EXP 	text: autoDraw = True
5.5240 	EXP 	New trial (rep=0, index=12): OrderedDict([(u'stimulus', 6), (u'category', u'number')])
5.5403 	EXP 	text: autoDraw = False
5.5403 	EXP 	text: autoDraw = False
5.5403 	EXP 	interStimInt: autoDraw = True
5.5733 	EXP 	interStimInt: autoDraw = False
5.5733 	EXP 	interStimInt: autoDraw = False
5.5733 	EXP 	text: text = 6
5.5733 	EXP 	text: autoDraw = True
5.6075 	EXP 	New trial (rep=0, index=13): OrderedDict([(u'stimulus', u'A'), (u'category', u'letter')])
5.6235 	EXP 	text: autoDraw = False
5.6235 	EXP 	text: autoDraw = False
5.6235 	EXP 	interStimInt: autoDraw = True
5.6591 	EXP 	interStimInt: autoDraw = False
5.6591 	EXP 	interStimInt: autoDraw = False
5.6591 	EXP 	text: text = u'A'
5.6591 	EXP 	text: autoDraw = True
5.6909 	EXP 	New trial (rep=0, index=14): OrderedDict([(u'stimulus', 3), (u'category', u'number')])
5.7069 	EXP 	text: autoDraw = False
5.7069 	EXP 	text: autoDraw = False
5.7069 	EXP 	interStimInt: autoDraw = True
5.7403 	EXP 	interStimInt: autoDraw = False
5.7403 	EXP 	interStimInt: autoDraw = False
5.7403 	EXP 	text: text = 3
5.7403 	EXP 	text: autoDraw = True
5.7739 	EXP 	New trial (rep=0, index=15): OrderedDict([(u'stimulus', u'Z'), (u'category', u'letter')])
5.7902 	EXP 	text: autoDraw = False
5.7902 	EXP 	text: autoDraw = False
5.7902 	EXP 	interStimInt: autoDraw = True
5.8236 	EXP 	interStimInt: autoDraw = False
5.8236 	EXP 	interStimInt: autoDraw = False
5.8236 	EXP 	text: text = u'Z'
5.8236 	EXP 	text: autoDraw = True
5.8594 	EXP 	New trial (rep=0, index=16): OrderedDict([(u'stimulus', u'K'), (u'category', u'letter')])
5.8737 	EXP 	text: autoDraw = False
5.8737 	EXP 	text: autoDraw = False
5.8737 	EXP 	interStimInt: autoDraw = True
5.9069 	EXP 	interStimInt: autoDraw = False
5.9069 	EXP 	interStimInt: autoDraw = False
5.9069 	EXP 	text: text = u'K'
5.9069 	EXP 	text: autoDraw = True
5.9406 	EXP 	New trial (rep=0, index=17): OrderedDict([(u'stimulus', u'S'), (u'category', u'letter')])
5.9588 	EXP 	text: autoDraw = False
5.9588 	EXP 	text: autoDraw = False
5.9588 	EXP 	interStimInt: autoDraw = True
5.9904 	EXP 	interStimInt: autoDraw = False
5.9904 	EXP 	interStimInt: autoDraw = False
5.9904 	EXP 	text: text = u'S'
5.9904 	EXP 	text: autoDraw = True
6.0240 	EXP 	New trial (rep=0, index=18): OrderedDict([(u'stimulus', 1), (u'category', u'number')])
6.0403 	EXP 	text: autoDraw = False
